a.m,n.(缩)上午；午前
abandon,vt.丢弃；放弃；抛弃n.放纵
ability,n.能力；能耐；本领
able,adj.能干的；有能力的；出色的
abnormal,adj.反常的；不正常的；不规则的；变态的n.不正常的人
aboard,adv.在船(车)上 在火车上；在飞机上prep.上船；上飞机；上车
abolish,vt.废除，取消
about,prep.关于在...周围adj.准备adv.大约
above,"prep.在...上面超过高于adj.上面的adv.在上面超过n.上面的东
西"
abroad,adv.(在)国外海外(一般作表语)到处到国外广为流传
abrupt,a. 突然的，意外的，唐突的
absence,n.缺席；不在场；缺乏
absent,adj.缺席的；不在场的；缺乏的vt.使缺席prep.没有
absolute,"adj.绝对的；纯粹的；完全的；无限制的；独立的；专制的n.绝
对的事物"
absolutely,adv.独立地；完全地；绝对地
absorb,vt.吸收；吸纳 吸引...的注意吞并使专心
abstract,adj.抽象的；理论的n.摘要抽象的东西vt.移除摘要偷vi.做摘要
absurd,a.不合理的，荒唐的
abundance,n.丰富，充裕
abundant,adj.丰富的；充裕的；大量的
abuse,vt.滥用辱骂虐待n.滥用恶习
academic,adj.学院的；理论的；学术性的n.教学人员；学术人员
academy,n.私立中学；专科院校；学院；学术；学会
accelerate,vt.(使)加快；促进加速提前跳级vi.加速
acceleration,n.加速促进；加速度
accent,n.口音腔调重音强调vt.重读强调
accept,vt.接受；同意；承担(责任等)vi.接受
acceptable,adj.可接受的；合意的；受欢迎的
acceptance,n.接受（礼物、邀请、建议等）同意认可验收承认
access,n.进入接近(的机会)使用之权通道入口vt.(电脑)存取进入
accessory,n.同谋 a.附属的
accident,n.意外的事故
accidental,"a.意外的；偶然的；附属的；非本质的n.偶然不重要的东西<音>
变调的临时符号"
accommodate,vt.容纳；供应；供给；提供方便使一致和解顾及vi.使自己适应
accommodation,n.招待设备；预定铺位；住处；膳宿；适应和解
accompany,vt.陪伴；陪同；伴随给...伴奏vi.伴奏
accomplish,vt.达到(目的)完成
accord,vt.使一致调解；赠予；给予n.一致调和；协议自愿vi.(与)一致
accordance,n.一致和谐；授予；符合；同意
accordingly,adv.因此；所以；于是；相应地照着
account,"n.记述解释根据理由帐目报告估计利益好处vi.报账解释导致vt.
把...视为归咎(于)"
accumulate,vt.积累 累加 堆积vi.堆积 累积
accuracy,n.准确(性)；准确度
accurate,adj.准确的；正确无误的
accuse,vt.指责；责备；控告；归咎于
accustom,vt.使...习惯
accustomed,adj.惯常的；习惯的
ache,vi.痛想念；渴望n.疼痛
achieve,vt.完成；实现；达到vi.达到目的
achievement,n.完成；成就；成绩；达到
acid,n.酸酸味物质adj.酸的酸性的
acknowledge,vt.承认；告知收到
acquaint,vt.使认识，使了解
acquaintance,n.认识；了解；熟人
acquire,vt.占有；取得；获得；学到
acquisition,"n. 获得,添加的物品"
acre,n.英亩(=6.07亩)
across,prep.横过穿过在...对面adv.横过使...被理解(或接受)
act,"vi.行动表演表现充当见效vt.表演扮演n.行为行动法案（戏剧、
歌剧等的） 一幕"
action,n.起诉行动；作用功能；情节活动
activate,"vt. 刺激,使活动"
active,adj.活跃的；积极的；主动的
activity,n.活动；活跃；活力；行动vt.表演adj.厉害
actor,n.男演员；演剧的人
actress,n.女演员
actual,adj.实际的；真实的；现行的
actually,adv.实际上；事实上；居然；竟然（表示惊讶）
acute,adj.尖的锐的敏锐的敏锐的激烈的
ad,n.(缩)广告abbr.(advertisement[。d'v。:tism。nt]的缩写)广告
adapt,vt.使适应改编vi.适应适合
add,vt.添加；附加；掺加；增加
addition,n.加加法；附加物；增加
additional,adj.附加的；追加的；另外的
address,"n. 地址住址致词讲话演说谈吐(处理问题的)技巧vt. 发表演说
写地址称呼对付(图书、文章等)讨论(某主题)"
